N  chl  mld meanS  z   jd  sst  sstgrad  sstdt  windspeed  par  w  M  eke  current  Ro  PAR7day
1  0.371851  0.193348  0.468285  1.406054  0.223655  0.868955  -0.834180  -0.614152  -0.353207  NaN  -0.090926  0.110540  -0.099646  -0.396463  1.464039  NaN
2  2.099955  -0.665071  1.224531  2.809810  0.685801  0.079152  1.348824  0.365737  -0.406865  0.859696  -0.420643  0.541518  -0.376302  -0.558948  1.568861  0.087167
3  1.464169  -0.299448  0.969798  -0.028099  1.346009  0.105655  -0.741270  -0.940782  NaN  NaN  NaN  NaN  1.057839  0.909020  0.303999  0.142770
4  -0.409334  -0.482260  0.702952  -1.106053  -1.530613  0.769567  0.157894  -0.859125  -0.964312  NaN  -0.219208  0.798302  0.382567  -0.002613  0.702329  NaN
5  -2.730371  -0.003771  0.873513  -1.016418  -0.398827  0.554889  -1.074419  -2.247302  0.830251  0.075620  0.367634  -0.860196  -0.435633  -0.589056  -0.172444  -0.124010
6  -0.738283  0.784703  1.148337  -1.148142  0.355697  0.136134  -0.278658  -0.083379  0.073077  0.135286  -0.869201  0.048345  -0.068449  -0.375606  0.704942  -0.249172
7  -0.701339  -0.960749  0.373184  -1.161392  1.393167  0.362739  -0.700477  0.079936  -1.307127  NaN  0.067434  0.957885  -0.248739  -0.488791  0.262108  NaN
8  -1.616745  -0.876497  0.588182  -0.802854  -0.427122  0.732462  -0.019831  -0.410009  0.186355  NaN  -0.281109  0.052534  0.208117  -0.164171  -0.200615  0.108155
9  -2.172224  -0.941673  -0.771629  -0.971990  -1.455160  0.960392  -0.251040  0.161594  -1.655904  1.849002  -0.017741  1.047882  -0.881034  -0.772229  -0.105729  NaN
10  -0.682431  -0.768399  0.356358  -0.572142  -0.417690  0.796070  -0.734358  0.243251  0.171450  0.247145  0.246055  0.031322  -0.332079  -0.535489  0.399879  0.154583
11  -0.473592  0.055047  0.433404  -0.643070  -0.134744  0.652952  -0.298233  -0.287522  -0.660250  -0.030566  -0.396676  0.572980  -0.470764  -0.606176  0.647715  0.173675
12  -1.542717  -0.488619  0.696947  -0.592407  1.091357  0.447550  -0.937657  -0.491666  0.818327  2.111762  0.051499  -0.961026  -0.842664  -0.759053  0.203383  2.155418
13  -0.290738  0.473128  0.392191  -0.576039  -0.115881  0.500557  -0.308971  0.529052  -0.779490  -0.201156  -0.115208  0.659197  -1.365365  -0.906135  -0.108984  -0.625373
14  -0.229605  0.272831  0.568495  -0.455228  -0.021565  0.398518  -0.279018  -0.287522  -1.474063  -0.198820  -0.548516  0.978974  -0.949777  -0.794779  0.593133  -0.326698
15  0.062819  0.628916  0.389812  -0.032776  0.167066  0.297805  -0.402911  -0.124208  -0.174347  -0.085427  -0.851732  0.280043  -1.307265  -0.892846  -0.340268  0.312793
16  0.053719  -0.684147  0.478776  -0.378843  1.015905  0.113606  -0.716040  0.243251  -0.883825  1.881371  -0.219920  0.737911  -0.956030  -0.796765  -0.484865  0.971708
17  -0.920020  -0.323293  0.220720  -0.370270  -0.738363  0.825224  -0.127315  0.039107  0.013457  0.890797  -0.113345  0.126694  -0.871635  -0.769042  -0.696605  0.060244
